file,execution_time_seconds
microsoft_TypeScript__ci.yml,0.1894
krahets_hello-algo__rust.yml,0.2019
huggingface_transformers__doctests.yml,0.1947
denoland_deno__post_publish.yml,0.2273
electron_electron__pull-request-labeled.yml,0.2615
langchain-ai_langchain___compile_integration_test.yml,0.1745
alibaba_druid__ci.yaml,0.2651
vercel_next.js__integration_tests_reusable.yml,0.2534
yt-dlp_yt-dlp__core.yml,0.1968
electron_electron__stable-prep-items.yml,0.2071
langchain-ai_langchain___test_pydantic.yml,0.2098
avelino_awesome-go__run-check.yaml,0.1597
EbookFoundation_free-programming-books__detect-conflicting-prs.yml,0.2026
electron_electron__macos-publish.yml,0.1645
trekhleb_javascript-algorithms__CI.yml,0.289
vercel_next.js__rspack-nextjs-dev-integration-tests.yml,0.294
n8n-io_n8n__test-workflows-nightly.yml,0.2534
alibaba_tengine__test-nginx-core.yml,0.3527
facebook_rocksdb__nightly.yml,0.2978
jwasham_coding-interview-university__links_checker.yml,0.2592
Significant-Gravitas_AutoGPT__classic-autogpts-ci.yml,0.3081
n8n-io_n8n__notify-pr-status.yml,0.3364
TheAlgorithms_Python__ruff.yml,0.2708
facebook_react__shared_check_maintainer.yml,0.2786
Significant-Gravitas_AutoGPT__platform-frontend-ci.yml,0.7485
electron_electron__pipeline-segment-node-nan-test.yml,0.3073
twbs_bootstrap__codeql.yml,0.2274
nodejs_node__license-builder.yml,0.3218
nodejs_node__label-flaky-test-issue.yml,0.4137
vercel_next.js__test-turbopack-rust-bench-test.yml,0.4863
microsoft_TypeScript__error-deltas-watchdog.yaml,0.3992
facebook_facebook-ios-sdk__stale.yml,0.1726
ossu_computer-science__delete-empty-issues.yml,0.3647
yt-dlp_yt-dlp__sanitize-comment.yml,0.4153
open-webui_open-webui__docker-build.yaml,0.2648
huggingface_transformers__self-nightly-caller.yml,0.2453
langchain-ai_langchain__people.yml,0.3428
awslabs_amazon-ecr-credential-helper__build.yaml,0.6414
langchain-ai_langchain___test_release.yml,0.6256
google_truth__ci.yml,0.594
n8n-io_n8n__benchmark-destroy-nightly.yml,0.3089
langchain-ai_langchain___test.yml,0.1953
EbookFoundation_free-programming-books__rtl-ltr-linter.yml,0.368
n8n-io_n8n__e2e-tests.yml,0.2095
excalidraw_excalidraw__locales-coverage.yml,0.2546
nodejs_node__close-stalled.yml,0.2223
facebook_react__runtime_prereleases.yml,0.1764
vuejs_vue__ci.yml,0.2259
krahets_hello-algo__swift.yml,0.1907
airbnb_javascript__require-allow-edits.yml,0.2071
freeCodeCamp_freeCodeCamp__github-no-web-commits.yml,0.2221
google_blockly__welcome_new_contributors.yml,0.2296
nodejs_node__doc.yml,0.1561
