file,execution_time_seconds
microsoft_TypeScript__twoslash-repros.yaml,0.0052
freeCodeCamp_freeCodeCamp__github-autoclose.yml,0.0055
oracle_opengrok__javadoc.yml,0.0055
facebook_folly__getdeps_windows.yml,0.0046
langgenius_dify__style.yml,0.0052
facebook_facebook-android-sdk__needs-attention.yml,0.006
huggingface_transformers__doctest_job.yml,0.0057
microsoft_TypeScript__copilot-setup-steps.yml,0.0082
yangshun_tech-interview-handbook__lint.yml,0.0059
huggingface_transformers__benchmark.yml,0.0076
Significant-Gravitas_AutoGPT__repo-stats.yml,0.0085
freeCodeCamp_freeCodeCamp__e2e-third-party.yml,0.0042
microsoft_terminal__addToProject.yml,0.0065
google_blockly__browser_test.yml,0.0087
facebook_react__compiler_discord_notify.yml,0.0053
electron_electron__pipeline-electron-build-and-test.yml,0.0094
twbs_bootstrap__cspell.yml,0.0064
freeCodeCamp_freeCodeCamp__crowdin-upload.client-ui.yml,0.0065
microsoft_TypeScript__ci.yml,0.0073
krahets_hello-algo__rust.yml,0.0043
huggingface_transformers__doctests.yml,0.0079
denoland_deno__post_publish.yml,0.0069
electron_electron__pull-request-labeled.yml,0.0046
langchain-ai_langchain___compile_integration_test.yml,0.0086
alibaba_druid__ci.yaml,0.0069
vercel_next.js__integration_tests_reusable.yml,0.0081
yt-dlp_yt-dlp__core.yml,0.007
electron_electron__stable-prep-items.yml,0.0097
langchain-ai_langchain___test_pydantic.yml,0.0065
avelino_awesome-go__run-check.yaml,0.0042
EbookFoundation_free-programming-books__detect-conflicting-prs.yml,0.0053
electron_electron__macos-publish.yml,0.0068
trekhleb_javascript-algorithms__CI.yml,0.0058
vercel_next.js__rspack-nextjs-dev-integration-tests.yml,0.0066
n8n-io_n8n__test-workflows-nightly.yml,0.0068
alibaba_tengine__test-nginx-core.yml,0.0048
facebook_rocksdb__nightly.yml,0.0073
jwasham_coding-interview-university__links_checker.yml,0.0076
Significant-Gravitas_AutoGPT__classic-autogpts-ci.yml,0.0044
n8n-io_n8n__notify-pr-status.yml,0.0076
TheAlgorithms_Python__ruff.yml,0.0071
facebook_react__shared_check_maintainer.yml,0.0046
Significant-Gravitas_AutoGPT__platform-frontend-ci.yml,0.0084
electron_electron__pipeline-segment-node-nan-test.yml,0.0052
twbs_bootstrap__codeql.yml,0.0046
nodejs_node__license-builder.yml,0.0089
nodejs_node__label-flaky-test-issue.yml,0.0041
vercel_next.js__test-turbopack-rust-bench-test.yml,0.0038
microsoft_TypeScript__error-deltas-watchdog.yaml,0.0068
facebook_facebook-ios-sdk__stale.yml,0.0044
ossu_computer-science__delete-empty-issues.yml,0.0039
yt-dlp_yt-dlp__sanitize-comment.yml,0.0036
open-webui_open-webui__docker-build.yaml,0.0074
huggingface_transformers__self-nightly-caller.yml,0.0036
langchain-ai_langchain__people.yml,0.0036
awslabs_amazon-ecr-credential-helper__build.yaml,0.0038
langchain-ai_langchain___test_release.yml,0.0059
google_truth__ci.yml,0.0035
n8n-io_n8n__benchmark-destroy-nightly.yml,0.0038
langchain-ai_langchain___test.yml,0.0036
EbookFoundation_free-programming-books__rtl-ltr-linter.yml,0.0044
n8n-io_n8n__e2e-tests.yml,0.0038
excalidraw_excalidraw__locales-coverage.yml,0.0035
nodejs_node__close-stalled.yml,0.0038
facebook_react__runtime_prereleases.yml,0.0045
vuejs_vue__ci.yml,0.0054
krahets_hello-algo__swift.yml,0.0053
airbnb_javascript__require-allow-edits.yml,0.006
freeCodeCamp_freeCodeCamp__github-no-web-commits.yml,0.0082
google_blockly__welcome_new_contributors.yml,0.0049
nodejs_node__doc.yml,0.0041
microsoft_TypeScript__sync-branch.yaml,0.0079
excalidraw_excalidraw__publish-docker.yml,0.0051
flutter_flutter__labeler.yml,0.0038
Genymobile_scrcpy__release.yml,0.0049
f_awesome-chatgpt-prompts__ai_bot.yml,0.0049
microsoft_vscode__monaco-editor.yml,0.0042
freeCodeCamp_freeCodeCamp__github-spam.yml,0.004
oracle_graal__micronaut.yml,0.0048
facebook_react-native__needs-attention.yml,0.0043
google_grr__publish-pypi.yml,0.004
Chalarangelo_30-seconds-of-code__test.yml,0.0042
tensorflow_tensorflow__arm-ci-extended.yml,0.0051
rust-lang_rust__dependencies.yml,0.0043
Chalarangelo_30-seconds-of-code__label.yml,0.0049
facebook_react__runtime_discord_notify.yml,0.0048
twbs_bootstrap__calibreapp-image-actions.yml,0.005
google_grr__build.yml,0.0047
huggingface_transformers__release-conda.yml,0.0043
denoland_deno__wpt_epoch.yml,0.0039
airbnb_javascript__node.yml,0.005
langchain-ai_langchain___lint.yml,0.0053
vercel_next.js__turbopack-nextjs-build-integration-tests.yml,0.004
oracle_truffleruby__ci.yml,0.0042
facebook_react-native__prebuild-ios-dependencies.yml,0.006
n8n-io_n8n__chromatic.yml,0.0052
NVIDIA_cutlass__stale.yml,0.0044
yt-dlp_yt-dlp__issue-lockdown.yml,0.0052
n8n-io_n8n__test-workflows-callable.yml,0.0046
nodejs_node__update-openssl.yml,0.004
AUTOMATIC1111_stable-diffusion-webui__on_pull_request.yaml,0.0036
microsoft_TypeScript__accept-baselines-fix-lints.yaml,0.0045
facebook_react-native__create-draft-release.yml,0.0048
nodejs_node__scorecard.yml,0.0044
facebook_react__runtime_fuzz_tests.yml,0.0048
Significant-Gravitas_AutoGPT__repo-pr-label.yml,0.0054
freeCodeCamp_freeCodeCamp__i18n-validate-prs.yml,0.0044
facebook_react-native__publish-bumped-packages.yml,0.0045
electron_electron__windows-publish.yml,0.0042
IBM_sarama__cache-cleanup.yml,0.0053
nodejs_node__close-stale-pull-requests.yml,0.0063
NVIDIA_k8s-device-plugin__ci.yaml,0.0041
vercel_next.js__rspack-nextjs-build-integration-tests.yml,0.0046
d3_d3__test.yml,0.0055
freeCodeCamp_freeCodeCamp__github-no-i18n-via-prs.yml,0.0046
Significant-Gravitas_AutoGPT__classic-autogpt-docker-ci.yml,0.0041
huggingface_transformers__self-push-caller.yml,0.0051
flutter_flutter__lock.yaml,0.0058
d3_d3__deploy.yml,0.0046
twbs_bootstrap__bundlewatch.yml,0.0046
facebook_rocksdb__nightly-candidate.yml,0.0056
facebook_react-native__danger-pr.yml,0.0044
electron_electron__clean-src-cache.yml,0.0045
nodejs_node__build-tarball.yml,0.0048
n8n-io_n8n__ci-master.yml,0.0051
vercel_next.js__build_and_deploy.yml,0.004
excalidraw_excalidraw__autorelease-preview.yml,0.0045
microsoft_TypeScript__insiders.yaml,0.0042
microsoft_PowerToys__dependency-review.yml,0.0052
airbnb_javascript__rebase.yml,0.0041
microsoft_TypeScript__create-cherry-pick-pr.yml,0.0052
facebook_react-native__bump-podfile-lock.yml,0.0044
flutter_flutter__tool-test-general.yml,0.0044
oracle_docker-images__build-and-push-dev-images.yml,0.0043
vercel_next.js__update_fonts_data.yml,0.004
microsoft_TypeScript__new-release-branch.yaml,0.0039
langgenius_dify__stale.yml,0.0054
EbookFoundation_free-programming-books__issues-pinner.yml,0.0044
tensorflow_tensorflow__stale-issues.yml,0.0039
freeCodeCamp_freeCodeCamp__node.js-tests.yml,0.0038
yangshun_tech-interview-handbook__tsc.yml,0.0059
nodejs_node__test-internet.yml,0.0044
flutter_flutter__files-changed.yml,0.0042
nodejs_node__lint-release-proposal.yml,0.0041
huggingface_transformers__trufflehog.yml,0.0056
vercel_next.js__upload-tests-manifest.yml,0.0057
microsoft_terminal__spelling2.yml,0.0041
microsoft_vscode__basic.yml,0.0054
denoland_deno__cargo_publish.yml,0.0058
vercel_next.js__popular.yml,0.0047
nodejs_node__notify-on-push.yml,0.0039
huggingface_transformers__build_documentation.yml,0.0058
freeCodeCamp_freeCodeCamp__docker-docr.yml,0.0042
tensorflow_tensorflow__osv-scanner-scheduled.yml,0.0047
nodejs_node__major-release.yml,0.0047
awslabs_amazon-ecr-credential-helper__review-dependencies.yml,0.006
krahets_hello-algo__kotlin.yml,0.0043
nodejs_node__daily.yml,0.0044
google_jimfs__ci.yml,0.0055
microsoft_vscode__ci.yml,0.0058
electron_electron__pipeline-segment-electron-build.yml,0.0042
open-webui_open-webui__format-build-frontend.yaml,0.0046
facebook_react__runtime_releases_from_npm_manual.yml,0.0061
electron_electron__issue-labeled.yml,0.0056
microsoft_TypeScript__close-issues.yml,0.0074
axios_axios__pr-guard.yml,0.0075
huggingface_transformers__self-push-amd-mi250-caller.yml,0.0064
denoland_deno__npm_publish.yml,0.0066
axios_axios__depsreview.yaml,0.0067
f_awesome-chatgpt-prompts__csv_linter.yml,0.0065
facebook_react-native__cache-reaper.yml,0.0083
n8n-io_n8n__test-workflows-pr-comment.yml,0.0072
n8n-io_n8n__security-trivy-scan-callable.yml,0.0063
electron_electron__scorecards.yml,0.01
facebook_react-native__check-nightly.yml,0.0047
tensorflow_tensorflow__arm-ci-extended-cpp.yml,0.0068
denoland_deno__node_compat_test.yml,0.0055
EbookFoundation_free-programming-books__stale.yml,0.0053
facebook_react__runtime_prereleases_nightly.yml,0.0063
huggingface_transformers__upload_pr_documentation.yml,0.0054
vercel_next.js__rspack-update-tests-manifest.yml,0.0059
facebook_react-native__test-all.yml,0.0086
facebook_react__shared_cleanup_merged_branch_caches.yml,0.0054
n8n-io_n8n__test-workflows-pr-approved.yml,0.0054
huggingface_transformers__assign-reviewers.yml,0.007
tensorflow_tensorflow__release-branch-cherrypick.yml,0.0066
nodejs_node__coverage-linux-without-intl.yml,0.0057
flutter_flutter__coverage.yml,0.0056
google_blockly__develop_freeze.yml,0.0058
goldbergyoni_nodebestpractices__update-date-in-last-update-badge.yml,0.007
oracle_graal__cdt-inspect.yml,0.0073
oracle_docker-images__build-and-push-oci-cli-image.yml,0.006
vercel_next.js__force_merge_canary_release_pr.yml,0.0087
langchain-ai_langchain___release.yml,0.0054
electron_electron__archaeologist-dig.yml,0.0045
Significant-Gravitas_AutoGPT__classic-benchmark-ci.yml,0.0058
ollama_ollama__latest.yaml,0.0062
facebook_facebook-android-sdk__stale.yml,0.0055
facebook_react-native__nightly.yml,0.0063
krahets_hello-algo__javascript.yml,0.0048
krahets_hello-algo__cpp.yml,0.0042
microsoft_PowerToys__spelling2.yml,0.0042
nodejs_node__coverage-windows.yml,0.006
vercel_next.js__turbopack-update-tests-manifest.yml,0.0057
oracle_opengrok__build.yml,0.0053
freeCodeCamp_freeCodeCamp__github-labeler.yaml,0.0064
n8n-io_n8n__linting-reusable.yml,0.0068
microsoft_TypeScript__sync-wiki.yml,0.0057
NVIDIA_k8s-device-plugin__code_scanning.yaml,0.0075
excalidraw_excalidraw__build-docker.yml,0.0072
n8n-io_n8n__docker-images-benchmark.yml,0.0098
Significant-Gravitas_AutoGPT__classic-autogpt-ci.yml,0.0119
alibaba_tengine__ci-arm64.yml,0.0072
yt-dlp_yt-dlp__release-nightly.yml,0.0047
microsoft_TypeScript__nightly.yaml,0.0046
NVIDIA_k8s-device-plugin__variables.yaml,0.0058
huggingface_transformers__self-push-amd-mi300-caller.yml,0.0072
f_awesome-chatgpt-prompts__publish.yml,0.0093
facebook_react__compiler_prereleases_nightly.yml,0.0077
NVIDIA_cutlass__labeler.yml,0.0071
goldbergyoni_nodebestpractices__lint-and-generate-html-from-markdown.yml,0.0087
excalidraw_excalidraw__test.yml,0.0063
twbs_bootstrap__node-sass.yml,0.0083
facebook_create-react-app__build-and-test.yml,0.0071
electron_electron__non-maintainer-dependency-change.yml,0.0049
yt-dlp_yt-dlp__release.yml,0.0073
huggingface_transformers__ssh-runner.yml,0.0086
nodejs_node__commit-queue.yml,0.0081
facebook_hhvm__ubuntu.yml,0.0057
langgenius_dify__deploy-dev.yml,0.0047
axios_axios__labeler.yml,0.0057
n8n-io_n8n__release-create-pr.yml,0.0067
yt-dlp_yt-dlp__download.yml,0.0063
n8n-io_n8n__docker-base-image.yml,0.008
langgenius_dify__build-push.yml,0.0063
electron_electron__issue-opened.yml,0.0048
alibaba_ice__release.yml,0.0098
TheAlgorithms_Python__project_euler.yml,0.0075
facebook_folly__TagIt.yml,0.0087
flutter_flutter__mirror.yml,0.0051
sindresorhus_awesome__main.yml,0.005
alibaba_ice__website.yml,0.0094
facebook_folly__getdeps_linux.yml,0.0061
facebook_rocksdb__pr-jobs.yml,0.0074
n8n-io_n8n__e2e-flaky.yml,0.0063
Significant-Gravitas_AutoGPT__platform-backend-ci.yml,0.0048
open-webui_open-webui__format-backend.yaml,0.0068
facebook_fbthrift__getdeps_mac.yml,0.0063
IBM_sarama__fuzz.yml,0.0062
facebook_watchman__getdeps_mac.yml,0.0082
langgenius_dify__deploy-rag-dev.yml,0.0058
nodejs_node__comment-labeled.yml,0.0042
mrdoob_three.js__report-size.yml,0.0087
AUTOMATIC1111_stable-diffusion-webui__warns_merge_master.yml,0.0063
tensorflow_tensorflow__pylint-presubmit.yml,0.008
langgenius_dify__tool-test-sdks.yaml,0.0057
twbs_bootstrap__issue-close-require.yml,0.0056
axios_axios__notify.yml,0.008
facebook_react__shared_close_direct_sync_branch_prs.yml,0.0062
facebook_react__devtools_regression_tests.yml,0.0079
oracle_docker-images__build-and-push-nosql-sec-image.yml,0.0071
tensorflow_tensorflow__issue-on-pr-rollback.yml,0.0052
google_go-querystring__linter.yml,0.0061
public-apis_public-apis__validate_links.yml,0.0072
NVIDIA_k8s-device-plugin__deploy-to-pages.yml,0.0063
vercel_next.js__issue_stale.yml,0.009
vercel_next.js__triage.yml,0.0084
microsoft_TypeScript__release-branch-artifact.yaml,0.0077
facebook_react__runtime_commit_artifacts.yml,0.0042
NVIDIA_k8s-device-plugin__golang.yaml,0.0057
Snailclimb_JavaGuide__test.yml,0.0093
AUTOMATIC1111_stable-diffusion-webui__run_tests.yaml,0.0181
oracle_graal__spring.yml,0.0048
electron_electron__issue-unlabeled.yml,0.0045
microsoft_PowerToys__msstore-submissions.yml,0.0068
facebook_watchman__getdeps_windows.yml,0.0062
Significant-Gravitas_AutoGPT__claude.yml,0.0036
google_dagger__ci.yml,0.0054
nodejs_node__daily-wpt-fyi.yml,0.0074
excalidraw_excalidraw__sentry-production.yml,0.0042
axios_axios__pr.yml,0.0048
microsoft_vscode__no-yarn-lock-changes.yml,0.0059
twbs_bootstrap__release-notes.yml,0.0043
vuejs_vue__release-tag.yml,0.0044
huggingface_transformers__self-scheduled-amd-mi300-caller.yml,0.0074
freeCodeCamp_freeCodeCamp__docker-ghcr.yml,0.0083
TheAlgorithms_Python__directory_writer.yml,0.0196
Significant-Gravitas_AutoGPT__classic-frontend-ci.yml,0.012
alibaba_ice__version.yml,0.0057
facebook_react__compiler_prereleases.yml,0.0069
freeCodeCamp_freeCodeCamp__deploy-api.yml,0.0087
alibaba_transmittable-thread-local__ci.yaml,0.0102
awslabs_amazon-ecr-credential-helper__codeql.yml,0.0066
facebook_react__shared_stale.yml,0.0076
excalidraw_excalidraw__test-coverage-pr.yml,0.0085
IBM_sarama__codeql-analysis.yml,0.0044
airbnb_javascript__node-pretest.yml,0.0066
facebook_react__compiler_playground.yml,0.0086
langgenius_dify__vdb-tests.yml,0.0039
electron_electron__branch-created.yml,0.0048
huggingface_transformers__build-past-ci-docker-images.yml,0.0063
mrdoob_three.js__codeql-code-scanning.yml,0.0051
huggingface_transformers__build-ci-docker-images.yml,0.0039
nodejs_node__test-linux.yml,0.0092
microsoft_TypeScript__set-version.yaml,0.0041
vercel_next.js__triage_with_ai.yml,0.0039
facebook_react__runtime_eslint_plugin_e2e.yml,0.0056
Significant-Gravitas_AutoGPT__repo-close-stale-issues.yml,0.0048
huggingface_transformers__check_tiny_models.yml,0.0038
NVIDIA_k8s-device-plugin__image.yaml,0.0047
open-webui_open-webui__deploy-to-hf-spaces.yml,0.0066
huggingface_transformers__self-push-amd.yml,0.0045
huggingface_transformers__new_model_pr_merged_notification.yml,0.0053
facebook_react-native__create-release.yml,0.0061
facebook_react__runtime_prereleases_manual.yml,0.0052
oracle_docker-images__super-linter.yml,0.0047
microsoft_TypeScript__update-package-lock.yaml,0.0046
microsoft_TypeScript__codeql.yml,0.0061
langchain-ai_langchain__check-broken-links.yml,0.0047
vercel_next.js__retry_deploy_test.yml,0.0042
google_blockly__conventional-label.yml,0.0053
vercel_next.js__setup-nextjs-build.yml,0.0053
avelino_awesome-go__pull-request-first-comment.yaml,0.0046
IBM_sarama__fvt-pr.yml,0.0037
facebook_react-native__prebuild-ios-core.yml,0.0052
vercel_next.js__cancel.yml,0.0066
huggingface_transformers__self-scheduled-intel-gaudi3-caller.yml,0.0049
IBM_sarama__dependency-review.yml,0.0045
microsoft_TypeScript__scorecard.yml,0.0064
langchain-ai_langchain__check_diffs.yml,0.0038
oracle_truffleruby__prism.yml,0.0037
alibaba_ice__canary.yml,0.0046
vercel_next.js__pull_request_stats.yml,0.0058
f_awesome-chatgpt-prompts__auto_commands.yml,0.0039
Significant-Gravitas_AutoGPT__classic-autogpt-docker-release.yml,0.0037
facebook_react-native__retry-workflow.yml,0.0048
alibaba_ice__coverage.yml,0.0057
vercel_next.js__turbopack-benchmark.yml,0.0039
nodejs_node__update-v8.yml,0.0034
langgenius_dify__api-tests.yml,0.004
electron_electron__pipeline-electron-docs-only.yml,0.0056
excalidraw_excalidraw__lint.yml,0.0034
vercel_next.js__issue_bankrupt.yml,0.0033
google_blockly__build.yml,0.0035
langchain-ai_langchain__codspeed.yml,0.0069
oracle_graal__ni-layers.yml,0.0046
yt-dlp_yt-dlp__build.yml,0.0037
IBM_sarama__scorecard.yml,0.0039
open-webui_open-webui__release-pypi.yml,0.0052
facebook_react-native__check-for-reproducer.yml,0.0052
electron_electron__issue-commented.yml,0.0038
google_go-querystring__tests.yml,0.0044
oracle_graal__reachability-metadata.yml,0.0059
tensorflow_tensorflow__scorecards-analysis.yml,0.0042
nodejs_node__codeql.yml,0.004
microsoft_vscode__telemetry.yml,0.0057
github_gitignore__stale.yml,0.0063
tensorflow_tensorflow__arm-cd.yml,0.0051
electron_electron__audit-branch-ci.yml,0.0047
Significant-Gravitas_AutoGPT__platform-dev-deploy-event-dispatcher.yml,0.0052
alibaba_tengine__ci.yml,0.0044
denoland_deno__version_bump.yml,0.0039
langchain-ai_langchain__scheduled_test.yml,0.0057
krahets_hello-algo__typescript.yml,0.0057
google_blockly__keyboard_plugin_test.yml,0.0041
google_blockly__appengine_deploy.yml,0.0048
n8n-io_n8n__docker-build-push.yml,0.0051
facebook_react-native__close-pr.yml,0.0043
langgenius_dify__deploy-enterprise.yml,0.0048
twbs_bootstrap__js.yml,0.0043
langchain-ai_langchain__codespell.yml,0.0052
nodejs_node__commit-lint.yml,0.0052
IBM_sarama__stale.yml,0.005
vercel_next.js__trigger_release_new.yml,0.0055
electron_electron__pipeline-segment-electron-test.yml,0.0055
NVIDIA_k8s-device-plugin__helm.yaml,0.0052
vercel_next.js__issue_lock.yml,0.0054
facebook_create-react-app__e2e-base.yml,0.0059
langgenius_dify__translate-i18n-base-on-english.yml,0.0055
langchain-ai_langchain__api_doc_build.yml,0.0056
huggingface_transformers__self-nightly-past-ci-caller.yml,0.0064
alibaba_ice__ci.yml,0.0047
NVIDIA_cutlass__new-issues-to-triage-projects.yml,0.0046
vercel_next.js__issue_version.yml,0.0055
vercel_next.js__update_react.yml,0.0049
langgenius_dify__web-tests.yml,0.0052
microsoft_terminal__winget.yml,0.008
Significant-Gravitas_AutoGPT__platform-autogpt-deploy-dev.yaml,0.007
axios_axios__npm-tag.yml,0.0058
n8n-io_n8n__release-publish.yml,0.0066
vercel_next.js__turbopack-nextjs-dev-integration-tests.yml,0.0074
EbookFoundation_free-programming-books__check-urls.yml,0.0059
Significant-Gravitas_AutoGPT__codeql.yml,0.0075
vercel_next.js__notify_release.yml,0.0094
excalidraw_excalidraw__semantic-pr-title.yml,0.0065
google_go-github__linter.yml,0.0059
microsoft_TypeScript__lkg.yml,0.0045
electron_electron__semantic.yml,0.0051
facebook_folly__getdeps_mac.yml,0.0054
krahets_hello-algo__dotnet.yml,0.0042
nodejs_node__label-pr.yml,0.0033
ohmyzsh_ohmyzsh__installer.yml,0.0065
electron_electron__build.yml,0.006
tensorflow_tensorflow__arm-ci.yml,0.0039
