file,execution_time_seconds
microsoft_TypeScript__ci.yml,0.006
krahets_hello-algo__rust.yml,0.0058
huggingface_transformers__doctests.yml,0.0064
denoland_deno__post_publish.yml,0.0067
electron_electron__pull-request-labeled.yml,0.0055
langchain-ai_langchain___compile_integration_test.yml,0.0051
alibaba_druid__ci.yaml,0.007
vercel_next.js__integration_tests_reusable.yml,0.0059
yt-dlp_yt-dlp__core.yml,0.0058
electron_electron__stable-prep-items.yml,0.005
langchain-ai_langchain___test_pydantic.yml,0.0058
avelino_awesome-go__run-check.yaml,0.0063
EbookFoundation_free-programming-books__detect-conflicting-prs.yml,0.0055
electron_electron__macos-publish.yml,0.0054
trekhleb_javascript-algorithms__CI.yml,0.007
vercel_next.js__rspack-nextjs-dev-integration-tests.yml,0.0053
n8n-io_n8n__test-workflows-nightly.yml,0.0054
alibaba_tengine__test-nginx-core.yml,0.0074
facebook_rocksdb__nightly.yml,0.0059
jwasham_coding-interview-university__links_checker.yml,0.006
Significant-Gravitas_AutoGPT__classic-autogpts-ci.yml,0.0084
n8n-io_n8n__notify-pr-status.yml,0.0071
TheAlgorithms_Python__ruff.yml,0.0102
facebook_react__shared_check_maintainer.yml,0.0078
Significant-Gravitas_AutoGPT__platform-frontend-ci.yml,0.0107
electron_electron__pipeline-segment-node-nan-test.yml,0.009
twbs_bootstrap__codeql.yml,0.0091
nodejs_node__license-builder.yml,0.0099
nodejs_node__label-flaky-test-issue.yml,0.0077
vercel_next.js__test-turbopack-rust-bench-test.yml,0.0101
microsoft_TypeScript__error-deltas-watchdog.yaml,0.007
facebook_facebook-ios-sdk__stale.yml,0.0098
ossu_computer-science__delete-empty-issues.yml,0.0082
yt-dlp_yt-dlp__sanitize-comment.yml,0.0102
open-webui_open-webui__docker-build.yaml,0.0096
huggingface_transformers__self-nightly-caller.yml,0.0073
langchain-ai_langchain__people.yml,0.0096
awslabs_amazon-ecr-credential-helper__build.yaml,0.0076
langchain-ai_langchain___test_release.yml,0.0091
google_truth__ci.yml,0.0081
n8n-io_n8n__benchmark-destroy-nightly.yml,0.0097
langchain-ai_langchain___test.yml,0.008
EbookFoundation_free-programming-books__rtl-ltr-linter.yml,0.0097
n8n-io_n8n__e2e-tests.yml,0.0071
excalidraw_excalidraw__locales-coverage.yml,0.009
nodejs_node__close-stalled.yml,0.0074
facebook_react__runtime_prereleases.yml,0.0098
vuejs_vue__ci.yml,0.0072
krahets_hello-algo__swift.yml,0.01
airbnb_javascript__require-allow-edits.yml,0.0071
freeCodeCamp_freeCodeCamp__github-no-web-commits.yml,0.0105
google_blockly__welcome_new_contributors.yml,0.0081
nodejs_node__doc.yml,0.0091
microsoft_TypeScript__sync-branch.yaml,0.0073
excalidraw_excalidraw__publish-docker.yml,0.009
flutter_flutter__labeler.yml,0.0076
Genymobile_scrcpy__release.yml,0.0116
f_awesome-chatgpt-prompts__ai_bot.yml,0.0094
microsoft_vscode__monaco-editor.yml,0.0099
freeCodeCamp_freeCodeCamp__github-spam.yml,0.011
oracle_graal__micronaut.yml,0.0081
facebook_react-native__needs-attention.yml,0.0095
google_grr__publish-pypi.yml,0.0071
Chalarangelo_30-seconds-of-code__test.yml,0.0098
tensorflow_tensorflow__arm-ci-extended.yml,0.0076
rust-lang_rust__dependencies.yml,0.0086
Chalarangelo_30-seconds-of-code__label.yml,0.0087
facebook_react__runtime_discord_notify.yml,0.0098
twbs_bootstrap__calibreapp-image-actions.yml,0.0088
google_grr__build.yml,0.0098
huggingface_transformers__release-conda.yml,0.0091
denoland_deno__wpt_epoch.yml,0.0091
airbnb_javascript__node.yml,0.0085
langchain-ai_langchain___lint.yml,0.0117
vercel_next.js__turbopack-nextjs-build-integration-tests.yml,0.0112
oracle_truffleruby__ci.yml,0.0082
facebook_react-native__prebuild-ios-dependencies.yml,0.0098
n8n-io_n8n__chromatic.yml,0.0078
NVIDIA_cutlass__stale.yml,0.0111
yt-dlp_yt-dlp__issue-lockdown.yml,0.0092
n8n-io_n8n__test-workflows-callable.yml,0.0078
nodejs_node__update-openssl.yml,0.0078
AUTOMATIC1111_stable-diffusion-webui__on_pull_request.yaml,0.0077
microsoft_TypeScript__accept-baselines-fix-lints.yaml,0.01
facebook_react-native__create-draft-release.yml,0.0062
nodejs_node__scorecard.yml,0.0081
facebook_react__runtime_fuzz_tests.yml,0.0064
Significant-Gravitas_AutoGPT__repo-pr-label.yml,0.0063
freeCodeCamp_freeCodeCamp__i18n-validate-prs.yml,0.0087
facebook_react-native__publish-bumped-packages.yml,0.0071
electron_electron__windows-publish.yml,0.0088
IBM_sarama__cache-cleanup.yml,0.0055
nodejs_node__close-stale-pull-requests.yml,0.0085
NVIDIA_k8s-device-plugin__ci.yaml,0.0057
vercel_next.js__rspack-nextjs-build-integration-tests.yml,0.0079
d3_d3__test.yml,0.0061
freeCodeCamp_freeCodeCamp__github-no-i18n-via-prs.yml,0.0057
Significant-Gravitas_AutoGPT__classic-autogpt-docker-ci.yml,0.0066
huggingface_transformers__self-push-caller.yml,0.0061
flutter_flutter__lock.yaml,0.0067
d3_d3__deploy.yml,0.0059
twbs_bootstrap__bundlewatch.yml,0.0057
facebook_rocksdb__nightly-candidate.yml,0.0062
facebook_react-native__danger-pr.yml,0.0057
electron_electron__clean-src-cache.yml,0.0057
nodejs_node__build-tarball.yml,0.0062
n8n-io_n8n__ci-master.yml,0.0056
vercel_next.js__build_and_deploy.yml,0.0056
excalidraw_excalidraw__autorelease-preview.yml,0.0072
microsoft_TypeScript__insiders.yaml,0.0052
microsoft_PowerToys__dependency-review.yml,0.0067
airbnb_javascript__rebase.yml,0.0054
microsoft_TypeScript__create-cherry-pick-pr.yml,0.0052
facebook_react-native__bump-podfile-lock.yml,0.0061
flutter_flutter__tool-test-general.yml,0.0055
oracle_docker-images__build-and-push-dev-images.yml,0.0052
vercel_next.js__update_fonts_data.yml,0.0064
microsoft_TypeScript__new-release-branch.yaml,0.0053
